Customer_ID,Risk_Level,Hidden_Persona,Offer_Category,Offer_Details,Data_Leftover_Rule,Projected_Next_Spend
CUST_0000,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0001,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0002,High,2,Limited Free Booster,Provide 6GB Free Booster Data. No extra cost.,STRICT NO - Free data vanishes. Unused data reduces next month's offer limit.,389.0
CUST_0003,High,4,Plan Upgrade + Value Benefit,Recommend ₹440 Plan (3GB/day). Bundled with 1-month Spotify Premium to justify price jump.,N/A,440.0
CUST_0004,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0005,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0006,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0007,Medium,1,Unused Data Credit,Crediting ₹37.8 for 25.2GB unused data. Next recharge drops to ₹351.2.,N/A,351.2
CUST_0008,High,2,Limited Free Booster,Provide 6GB Free Booster Data. No extra cost.,STRICT NO - Free data vanishes. Unused data reduces next month's offer limit.,389.0
CUST_0009,High,4,Plan Upgrade + Value Benefit,Recommend ₹440 Plan (3GB/day). Bundled with 1-month Spotify Premium to justify price jump.,N/A,440.0
CUST_0010,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0011,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0012,Medium,1,Unused Data Credit,Crediting ₹52.2 for 34.8GB unused data. Next recharge drops to ₹336.8.,N/A,336.8
CUST_0013,High,3,Paid Booster Bundle,Offer 5GB Booster Bundle for ₹49. Cheaper than buying individual boosters.,YES - Partial Carry-Forward applies to unused paid booster data.,438.0
CUST_0014,High,3,Paid Booster Bundle,Offer 5GB Booster Bundle for ₹49. Cheaper than buying individual boosters.,YES - Partial Carry-Forward applies to unused paid booster data.,438.0
CUST_0015,High,4,Plan Upgrade + Value Benefit,Recommend ₹440 Plan (3GB/day). Bundled with 1-month Spotify Premium to justify price jump.,N/A,440.0
CUST_0016,High,2,Limited Free Booster,Provide 6GB Free Booster Data. No extra cost.,STRICT NO - Free data vanishes. Unused data reduces next month's offer limit.,389.0
CUST_0017,Low,0,No Action Needed,Customer usage is optimal. Low churn risk.,N/A,389.0
CUST_0018,Medium,1,Unused Data Credit,Crediting ₹45.15 for 30.1GB unused data. Next recharge drops to ₹343.85.,N/A,343.85
